Country,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,Afghanistan,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.78,99.76,99.74,99.72,99.7,99.66,99.62,99.58,99.54,99.5,99.4,99.3,99.2,99.1,99.0,98.62,98.24,97.86,97.48,97.1,96.2,95.3,94.4,93.5,92.6,91.76,90.92,90.08,89.24,88.4
Albania,Albania,90.8,89.34,87.88,86.42,84.96,83.5,82.08,80.66,79.24,77.82,76.4,75.6,74.8,74.0,73.2,72.4,71.94,71.48,71.02,70.56,70.1,69.32,68.54,67.76,66.98,66.2,65.14,64.08,63.02,61.96,60.9,60.28,59.66,59.04,58.42,57.8,57.5,57.2,56.9,56.6,56.3,54.94,53.58,52.22,50.86,49.5,49.16,48.82,48.48,48.14,47.8,46.16,44.52,42.88,41.24,39.6
Algeria,Algeria,99.9,99.74,99.58,99.42,99.26,99.1,99.1,99.1,99.1,99.1,99.1,98.76,98.42,98.08,97.74,97.4,96.64,95.88,95.12,94.36,93.6,92.38,91.16,89.94,88.72,87.5,86.02,84.54,83.06,81.58,80.1,78.3,76.5,74.7,72.9,71.1,68.96,66.82,64.68,62.54,60.4,58.56,56.72,54.88,53.04,51.2,49.38,47.56,45.74,43.92,42.1,40.24,38.38,36.52,34.66,32.8
Angola,Angola,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.78,99.76,99.74,99.72,99.7,99.7,99.7,99.7,99.7,99.7,99.66,99.62,99.58,99.54,99.5,99.48,99.46,99.44,99.42,99.4,99.24,99.08,98.92,98.76,98.6,98.06,97.52,96.98,96.44,95.9
Antigua and Barbuda,Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,8.6,12.9,17.2,21.5
Argentina,Argentina,93.8,93.18,92.56,91.94,91.32,90.7,89.86,89.02,88.18,87.34,86.5,85.52,84.54,83.56,82.58,81.6,80.54,79.48,78.42,77.36,76.3,75.18,74.06,72.94,71.82,70.7,69.5,68.3,67.1,65.9,64.7,63.6,62.5,61.4,60.3,59.2,58.1,57.0,55.9,54.8,53.7,52.4,51.1,49.8,48.5,47.2,46.16,45.12,44.08,43.04,42.0,40.64,39.28,37.92,36.56,35.2
Armenia,Armenia,37.7,35.72,33.74,31.76,29.78,27.8,26.74,25.68,24.62,23.56,22.5,21.94,21.38,20.82,20.26,19.7,19.32,18.94,18.56,18.18,17.8,17.48,17.16,16.84,16.52,16.2,15.92,15.64,15.36,15.08,14.8,14.58,14.36,14.14,13.92,13.7,13.5,13.3,13.1,12.9,12.7,12.62,12.54,12.46,12.38,12.3,12.42,12.54,12.66,12.78,12.9,12.1,11.3,10.5,9.7,8.9
Aruba,Aruba,98.0,97.56,97.12,96.68,96.24,95.8,95.18,94.56,93.94,93.32,92.7,91.64,90.58,89.52,88.46,87.4,86.52,85.64,84.76,83.88,83.0,82.18,81.36,80.54,79.72,78.9,78.4,77.9,77.4,76.9,76.4,75.72,75.04,74.36,73.68,73.0,71.74,70.48,69.22,67.96,66.7,65.74,64.78,63.82,62.86,61.9,60.08,58.26,56.44,54.62,52.8,50.76,48.72,46.68,44.64,42.6
Australia,Australia,44.9,42.84,40.78,38.72,36.66,34.6,32.92,31.24,29.56,27.88,26.2,24.94,23.68,22.42,21.16,19.9,19.08,18.26,17.44,16.62,15.8,15.22,14.64,14.06,13.48,12.9,12.44,11.98,11.52,11.06,10.6,10.22,9.84,9.46,9.08,8.7,8.46,8.22,7.98,7.74,7.5,7.28,7.06,6.84,6.62,6.4,6.28,6.16,6.04,5.92,5.8,5.44,5.08,4.72,4.36,4.0
Austria,Austria,65.4,64.08,62.76,61.44,60.12,58.8,57.62,56.44,55.26,54.08,52.9,51.78,50.66,49.54,48.42,47.3,45.74,44.18,42.62,41.06,39.5,37.76,36.02,34.28,32.54,30.8,29.72,28.64,27.56,26.48,25.4,25.06,24.72,24.38,24.04,23.7,23.54,23.38,23.22,23.06,22.9,22.6,22.3,22.0,21.7,21.4,21.06,20.72,20.38,20.04,19.7,19.48,19.26,19.04,18.82,18.6
Azerbaijan,Azerbaijan,57.9,55.4,52.9,50.4,47.9,45.4,43.3,41.2,39.1,37.0,34.9,33.6,32.3,31.0,29.7,28.4,27.62,26.84,26.06,25.28,24.5,23.92,23.34,22.76,22.18,21.6,21.0,20.4,19.8,19.2,18.6,18.02,17.44,16.86,16.28,15.7,15.24,14.78,14.32,13.86,13.4,13.06,12.72,12.38,12.04,11.7,11.6,11.5,11.4,11.3,11.2,10.6,10.0,9.4,8.8,8.2
Bahamas,Bahamas,72.6,70.3,68.0,65.7,63.4,61.1,58.32,55.54,52.76,49.98,47.2,44.62,42.04,39.46,36.88,34.3,32.46,30.62,28.78,26.94,25.1,23.96,22.82,21.68,20.54,19.4,18.58,17.76,16.94,16.12,15.3,14.6,13.9,13.2,12.5,11.8,11.1,10.4,9.7,9.0,8.3,7.68,7.06,6.44,5.82,5.2,4.92,4.64,4.36,4.08,3.8,3.62,3.44,3.26,3.08,2.9
Bahrain,Bahrain,98.8,98.0,97.2,96.4,95.6,94.8,93.32,91.84,90.36,88.88,87.4,86.48,85.56,84.64,83.72,82.8,81.7,80.6,79.5,78.4,77.3,76.04,74.78,73.52,72.26,71.0,69.62,68.24,66.86,65.48,64.1,62.64,61.18,59.72,58.26,56.8,55.34,53.88,52.42,50.96,49.5,48.12,46.74,45.36,43.98,42.6,41.28,39.96,38.64,37.32,36.0,35.36,34.72,34.08,33.44,32.8
Bangladesh,Bangladesh,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.88,99.86,99.84,99.82,99.8,99.76,99.72,99.68,99.64,99.6,99.48,99.36,99.24,99.12,99.0,98.8,98.6,98.4,98.2,98.0,97.64,97.28,96.92,96.56,96.2,95.54,94.88,94.22,93.56,92.9,91.86,90.82,89.78,88.74,87.7,86.04,84.38,82.72,81.06,79.4,78.06,76.72,75.38,74.04,72.7
Barbados,Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,8.6,12.9,17.2,21.5
Belarus,Belarus,56.3,52.88,49.46,46.04,42.62,39.2,35.4,31.6,27.8,24.0,20.2,18.72,17.24,15.76,14.28,12.8,12.42,12.04,11.66,11.28,10.9,10.68,10.46,10.24,10.02,9.8,9.6,9.4,9.2,9.0,8.8,8.62,8.44,8.26,8.08,7.9,7.68,7.46,7.24,7.02,6.8,6.52,6.24,5.96,5.68,5.4,5.42,5.44,5.46,5.48,5.5,5.14,4.78,4.42,4.06,3.7
Belgium,Belgium,79.4,78.08,76.76,75.44,74.12,72.8,71.64,70.48,69.32,68.16,67.0,65.96,64.92,63.88,62.84,61.8,60.8,59.8,58.8,57.8,56.8,55.9,55.0,54.1,53.2,52.3,51.66,51.02,50.38,49.74,49.1,48.68,48.26,47.84,47.42,47.0,46.46,45.92,45.38,44.84,44.3,43.6,42.9,42.2,41.5,40.8,39.9,39.0,38.1,37.2,36.3,34.3,32.3,30.3,28.3,26.3
Belize,Belize,97.4,97.04,96.68,96.32,95.96,95.6,95.08,94.56,94.04,93.52,93.0,92.46,91.92,91.38,90.84,90.3,89.5,88.7,87.9,87.1,86.3,85.48,84.66,83.84,83.02,82.2,81.26,80.32,79.38,78.44,77.5,76.62,75.74,74.86,73.98,73.1,71.96,70.82,69.68,68.54,67.4,65.84,64.28,62.72,61.16,59.6,57.92,56.24,54.56,52.88,51.2,50.44,49.68,48.92,48.16,47.4
Benin,Benin,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.76,99.72,99.68,99.64,99.6,99.52,99.44,99.36,99.28,99.2,99.08,98.96,98.84,98.72,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.6,98.58,98.56,98.54,98.52,98.5,98.26,98.02,97.78,97.54,97.3,96.48,95.66,94.84,94.02,93.2,92.76,92.32,91.88,91.44,91.0
Bhutan,Bhutan,100.0,100.02,100.04,100.06,100.08,100.1,100.08,100.06,100.04,100.02,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.7,99.6,99.5,99.4,99.3,99.02,98.74,98.46,98.18,97.9,97.16,96.42,95.68,94.94,94.2,92.56,90.92,89.28,87.64,86.0,85.54,85.08,84.62,84.16,83.7,83.26,82.82,82.38,81.94,81.5
Bolivia,Bolivia (Plurinational State of),97.2,97.06,96.92,96.78,96.64,96.5,96.24,95.98,95.72,95.46,95.2,94.84,94.48,94.12,93.76,93.4,92.86,92.32,91.78,91.24,90.7,89.98,89.26,88.54,87.82,87.1,86.26,85.42,84.58,83.74,82.9,81.9,80.9,79.9,78.9,77.9,76.68,75.46,74.24,73.02,71.8,70.52,69.24,67.96,66.68,65.4,64.04,62.68,61.32,59.96,58.6,56.42,54.24,52.06,49.88,47.7
Bosnia and Herzegovina,Bosnia and Herzegovina,93.7,92.58,91.46,90.34,89.22,88.1,86.32,84.54,82.76,80.98,79.2,77.14,75.08,73.02,70.96,68.9,66.9,64.9,62.9,60.9,58.9,56.76,54.62,52.48,50.34,48.2,46.62,45.04,43.46,41.88,40.3,39.12,37.94,36.76,35.58,34.4,33.2,32.0,30.8,29.6,28.4,26.9,25.4,23.9,22.4,20.9,18.94,16.98,15.02,13.06,11.1,10.86,10.62,10.38,10.14,9.9
Botswana,Botswana,99.8,99.7,99.6,99.5,99.4,99.3,99.06,98.82,98.58,98.34,98.1,97.62,97.14,96.66,96.18,95.7,94.92,94.14,93.36,92.58,91.8,90.84,89.88,88.92,87.96,87.0,85.84,84.68,83.52,82.36,81.2,80.28,79.36,78.44,77.52,76.6,75.18,73.76,72.34,70.92,69.5,67.34,65.18,63.02,60.86,58.7,57.62,56.54,55.46,54.38,53.3,51.54,49.78,48.02,46.26,44.5
Brazil,Brazil,96.9,96.62,96.34,96.06,95.78,95.5,95.04,94.58,94.12,93.66,93.2,92.48,91.76,91.04,90.32,89.6,88.62,87.64,86.66,85.68,84.7,83.52,82.34,81.16,79.98,78.8,77.52,76.24,74.96,73.68,72.4,71.0,69.6,68.2,66.8,65.4,63.96,62.52,61.08,59.64,58.2,56.7,55.2,53.7,52.2,50.7,49.62,48.54,47.46,46.38,45.3,44.1,42.9,41.7,40.5,39.3
Brunei,Brunei Darussalam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.42,16.84,25.26,33.68,42.1
Bulgaria,Bulgaria,65.3,63.7,62.1,60.5,58.9,57.3,56.1,54.9,53.7,52.5,51.3,50.54,49.78,49.02,48.26,47.5,46.7,45.9,45.1,44.3,43.5,42.68,41.86,41.04,40.22,39.4,38.64,37.88,37.12,36.36,35.6,35.06,34.52,33.98,33.44,32.9,32.68,32.46,32.24,32.02,31.8,31.86,31.92,31.98,32.04,32.1,32.42,32.74,33.06,33.38,33.7,31.84,29.98,28.12,26.26,24.4
Burkina Faso,Burkina Faso,100.1,100.06,100.02,99.98,99.94,99.9,99.92,99.94,99.96,99.98,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,99.96,99.92,99.88,99.84,99.8,99.78,99.76,99.74,99.72,99.7,99.64,99.58,99.52,99.46,99.4,99.32,99.24,99.16,99.08,99.0,99.02,99.04,99.06,99.08,99.1,98.6,98.1,97.6,97.1,96.6,96.12,95.64,95.16,94.68,94.2
Burundi,Burundi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.92,99.94,99.96,99.98,100.0,99.96,99.92,99.88,99.84,99.8,99.66,99.52,99.38,99.24,99.1,98.96,98.82,98.68,98.54,98.4,98.24,98.08,97.92,97.76,97.6,97.6,97.6,97.6,97.6,97.6,96.96,96.32,95.68,95.04,94.4
Cambodia,Cambodia,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.76,99.72,99.68,99.64,99.6,99.58,99.56,99.54,99.52,99.5,99.48,99.46,99.44,99.42,99.4,99.3,99.2,99.1,99.0,98.9,98.4,97.9,97.4,96.9,96.4,96.0,95.6,95.2,94.8,94.4,94.1,93.8,93.5,93.2,92.9,92.34,91.78,91.22,90.66,90.1,88.94,87.78,86.62,85.46,84.3
Cameroon,Cameroon,99.8,99.8,99.8,99.8,99.8,99.8,99.72,99.64,99.56,99.48,99.4,99.24,99.08,98.92,98.76,98.6,98.38,98.16,97.94,97.72,97.5,97.24,96.98,96.72,96.46,96.2,95.76,95.32,94.88,94.44,94.0,93.42,92.84,92.26,91.68,91.1,90.32,89.54,88.76,87.98,87.2,86.12,85.04,83.96,82.88,81.8,81.08,80.36,79.64,78.92,78.2,77.48,76.76,76.04,75.32,74.6
Canada,Canada,51.3,50.1,48.9,47.7,46.5,45.3,44.44,43.58,42.72,41.86,41.0,40.28,39.56,38.84,38.12,37.4,36.72,36.04,35.36,34.68,34.0,33.3,32.6,31.9,31.2,30.5,29.92,29.34,28.76,28.18,27.6,27.18,26.76,26.34,25.92,25.5,25.14,24.78,24.42,24.06,23.7,23.32,22.94,22.56,22.18,21.8,21.56,21.32,21.08,20.84,20.6,19.4,18.2,17.0,15.8,14.6
Cape Verde,Cape Verde,99.9,99.9,99.9,99.9,99.9,99.9,99.86,99.82,99.78,99.74,99.7,99.64,99.58,99.52,99.46,99.4,99.3,99.2,99.1,99.0,98.9,98.72,98.54,98.36,98.18,98.0,97.8,97.6,97.4,97.2,97.0,96.62,96.24,95.86,95.48,95.1,94.3,93.5,92.7,91.9,91.1,90.3,89.5,88.7,87.9,87.1,86.82,86.54,86.26,85.98,85.7,85.16,84.62,84.08,83.54,83.0
Central African Republic,Central African Republic,100.0,100.02,100.04,100.06,100.08,100.1,100.08,100.06,100.04,100.02,100.0,99.88,99.76,99.64,99.52,99.4,99.46,99.52,99.58,99.64,99.7,99.74,99.78,99.82,99.86,99.9,99.88,99.86,99.84,99.82,99.8,99.72,99.64,99.56,99.48,99.4,99.04,98.68,98.32,97.96,97.6,97.28,96.96,96.64,96.32,96.0,95.66,95.32,94.98,94.64,94.3,93.94,93.58,93.22,92.86,92.5
Chad,Chad,100.1,100.08,100.06,100.04,100.02,100.0,99.98,99.96,99.94,99.92,99.9,99.94,99.98,100.02,100.06,100.1,100.06,100.02,99.98,99.94,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.72,99.64,99.56,99.48,99.4,99.36,99.32,99.28,99.24,99.2,99.02,98.84,98.66,98.48,98.3,97.8,97.3,96.8,96.3,95.8
Channel Islands,Channel Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.42,6.84,10.26,13.68,17.1
Chile,Chile,88.3,87.52,86.74,85.96,85.18,84.4,83.32,82.24,81.16,80.08,79.0,77.72,76.44,75.16,73.88,72.6,71.26,69.92,68.58,67.24,65.9,64.7,63.5,62.3,61.1,59.9,58.92,57.94,56.96,55.98,55.0,54.28,53.56,52.84,52.12,51.4,50.72,50.04,49.36,48.68,48.0,46.56,45.12,43.68,42.24,40.8,39.36,37.92,36.48,35.04,33.6,32.16,30.72,29.28,27.84,26.4
China,China,98.7,98.44,98.18,97.92,97.66,97.4,96.98,96.56,96.14,95.72,95.3,94.52,93.74,92.96,92.18,91.4,90.52,89.64,88.76,87.88,87.0,86.66,86.32,85.98,85.64,85.3,84.84,84.38,83.92,83.46,83.0,81.84,80.68,79.52,78.36,77.2,75.64,74.08,72.52,70.96,69.4,68.04,66.68,65.32,63.96,62.6,61.16,59.72,58.28,56.84,55.4,53.62,51.84,50.06,48.28,46.5
Colombia,Colombia,98.0,97.72,97.44,97.16,96.88,96.6,96.08,95.56,95.04,94.52,94.0,93.2,92.4,91.6,90.8,90.0,88.82,87.64,86.46,85.28,84.1,82.66,81.22,79.78,78.34,76.9,75.44,73.98,72.52,71.06,69.6,67.94,66.28,64.62,62.96,61.3,59.22,57.14,55.06,52.98,50.9,49.18,47.46,45.74,44.02,42.3,41.38,40.46,39.54,38.62,37.7,36.78,35.86,34.94,34.02,33.1
Comoros,Comoros,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.64,99.48,99.32,99.16,99.0,98.66,98.32,97.98,97.64,97.3,97.06,96.82,96.58,96.34,96.1,95.92,95.74,95.56,95.38,95.2,94.7,94.2,93.7,93.2,92.7,91.84,90.98,90.12,89.26,88.4,87.04,85.68,84.32,82.96,81.6,79.34,77.08,74.82,72.56,70.3
"Congo, Rep.",Congo,99.9,99.86,99.82,99.78,99.74,99.7,99.58,99.46,99.34,99.22,99.1,98.94,98.78,98.62,98.46,98.3,97.92,97.54,97.16,96.78,96.4,95.98,95.56,95.14,94.72,94.3,93.86,93.42,92.98,92.54,92.1,91.48,90.86,90.24,89.62,89.0,88.92,88.84,88.76,88.68,88.6,88.88,89.16,89.44,89.72,90.0,89.9,89.8,89.7,89.6,89.5,88.2,86.9,85.6,84.3,83.0
Costa Rica,Costa Rica,94.6,93.98,93.36,92.74,92.12,91.5,90.68,89.86,89.04,88.22,87.4,86.46,85.52,84.58,83.64,82.7,81.76,80.82,79.88,78.94,78.0,77.28,76.56,75.84,75.12,74.4,73.94,73.48,73.02,72.56,72.1,71.4,70.7,70.0,69.3,68.6,67.76,66.92,66.08,65.24,64.4,63.4,62.4,61.4,60.4,59.4,58.24,57.08,55.92,54.76,53.6,52.44,51.28,50.12,48.96,47.8
Cote d'Ivoire,Cote d'Ivoire,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.88,99.86,99.84,99.82,99.8,99.76,99.72,99.68,99.64,99.6,99.52,99.44,99.36,99.28,99.2,99.1,99.0,98.9,98.8,98.7,98.52,98.34,98.16,97.98,97.8,97.4,97.0,96.6,96.2,95.8,95.14,94.48,93.82,93.16,92.5,91.74,90.98,90.22,89.46,88.7
Croatia,Croatia,72.7,70.68,68.66,66.64,64.62,62.6,60.94,59.28,57.62,55.96,54.3,52.82,51.34,49.86,48.38,46.9,45.32,43.74,42.16,40.58,39.0,37.74,36.48,35.22,33.96,32.7,31.8,30.9,30.0,29.1,28.2,27.54,26.88,26.22,25.56,24.9,24.48,24.06,23.64,23.22,22.8,22.62,22.44,22.26,22.08,21.9,21.8,21.7,21.6,21.5,21.4,20.06,18.72,17.38,16.04,14.7
Cuba,Cuba,92.0,91.08,90.16,89.24,88.32,87.4,86.56,85.72,84.88,84.04,83.2,82.46,81.72,80.98,80.24,79.5,78.68,77.86,77.04,76.22,75.4,74.58,73.76,72.94,72.12,71.3,70.52,69.74,68.96,68.18,67.4,66.6,65.8,65.0,64.2,63.4,62.54,61.68,60.82,59.96,59.1,57.08,55.06,53.04,51.02,49.0,46.96,44.92,42.88,40.84,38.8,36.78,34.76,32.74,30.72,28.7
Curaçao,Curaçao,93.3,92.56,91.82,91.08,90.34,89.6,88.58,87.56,86.54,85.52,84.5,83.54,82.58,81.62,80.66,79.7,79.14,78.58,78.02,77.46,76.9,76.22,75.54,74.86,74.18,73.5,72.82,72.14,71.46,70.78,70.1,69.48,68.86,68.24,67.62,67.0,66.44,65.88,65.32,64.76,64.2,63.74,63.28,62.82,62.36,61.9,61.62,61.34,61.06,60.78,60.5,57.42,54.34,51.26,48.18,45.1
Cyprus,Cyprus,87.7,85.88,84.06,82.24,80.42,78.6,76.38,74.16,71.94,69.72,67.5,65.08,62.66,60.24,57.82,55.4,53.18,50.96,48.74,46.52,44.3,42.68,41.06,39.44,37.82,36.2,35.1,34.0,32.9,31.8,30.7,29.78,28.86,27.94,27.02,26.1,25.4,24.7,24.0,23.3,22.6,22.12,21.64,21.16,20.68,20.2,19.88,19.56,19.24,18.92,18.6,17.56,16.52,15.48,14.44,13.4
Czech Republic,Czech Republic,54.0,52.94,51.88,50.82,49.76,48.7,47.92,47.14,46.36,45.58,44.8,44.12,43.44,42.76,42.08,41.4,40.5,39.6,38.7,37.8,36.9,36.42,35.94,35.46,34.98,34.5,34.28,34.06,33.84,33.62,33.4,33.18,32.96,32.74,32.52,32.3,31.96,31.62,31.28,30.94,30.6,30.22,29.84,29.46,29.08,28.7,28.36,28.02,27.68,27.34,27.0,25.24,23.48,21.72,19.96,18.2
North Korea,Democratic People's Republic of Korea,37.8,35.32,32.84,30.36,27.88,25.4,22.4,19.4,16.4,13.4,10.4,8.68,6.96,5.24,3.52,1.8,1.46,1.12,0.78,0.44,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.08,0.06,0.04,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Congo, Dem. Rep.",Democratic Republic of the Congo,99.9,99.88,99.86,99.84,99.82,99.8,99.74,99.68,99.62,99.56,99.5,99.56,99.62,99.68,99.74,99.8,99.76,99.72,99.68,99.64,99.6,99.5,99.4,99.3,99.2,99.1,98.76,98.42,98.08,97.74,97.4,96.9,96.4,95.9,95.4,94.9,94.46,94.02,93.58,93.14,92.7,92.34,91.98,91.62,91.26,90.9,90.28,89.66,89.04,88.42,87.8,86.8,85.8,84.8,83.8,82.8
Denmark,Denmark,74.1,73.14,72.18,71.22,70.26,69.3,68.5,67.7,66.9,66.1,65.3,64.64,63.98,63.32,62.66,62.0,61.18,60.36,59.54,58.72,57.9,57.22,56.54,55.86,55.18,54.5,54.14,53.78,53.42,53.06,52.7,52.4,52.1,51.8,51.5,51.2,50.82,50.44,50.06,49.68,49.3,48.8,48.3,47.8,47.3,46.8,46.04,45.28,44.52,43.76,43.0,40.46,37.92,35.38,32.84,30.3
