Country,Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Liberia,Liberia,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.96,99.92,99.88,99.84,99.8,99.7,99.6,99.5,99.4,99.3,99.16,99.02,98.88,98.74,98.6,98.32,98.04,97.76,97.48,97.2,96.86,96.52,96.18,95.84,95.5,95.06,94.62,94.18,93.74,93.3,92.86,92.42,91.98,91.54,91.1,91.02,90.94,90.86,90.78,90.7,89.38,88.06,86.74,85.42,84.1
Libya,Libyan Arab Jamahiriya,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.86,17.72,26.58,35.44,44.3
Lithuania,Lithuania,49.4,46.48,43.56,40.64,37.72,34.8,33.14,31.48,29.82,28.16,26.5,26.16,25.82,25.48,25.14,24.8,24.6,24.4,24.2,24.0,23.8,23.62,23.44,23.26,23.08,22.9,22.68,22.46,22.24,22.02,21.8,21.38,20.96,20.54,20.12,19.7,18.94,18.18,17.42,16.66,15.9,15.76,15.62,15.48,15.34,15.2,17.1,19.0,20.9,22.8,24.7,23.34,21.98,20.62,19.26,17.9
Luxembourg,Luxembourg,79.9,78.54,77.18,75.82,74.46,73.1,71.88,70.66,69.44,68.22,67.0,65.76,64.52,63.28,62.04,60.8,59.44,58.08,56.72,55.36,54.0,52.8,51.6,50.4,49.2,48.0,46.86,45.72,44.58,43.44,42.3,41.16,40.02,38.88,37.74,36.6,35.56,34.52,33.48,32.44,31.4,30.62,29.84,29.06,28.28,27.5,27.16,26.82,26.48,26.14,25.8,24.52,23.24,21.96,20.68,19.4
Macao Special Administrative Region of China,Macao Special Administrative Region of China,99.3,98.96,98.62,98.28,97.94,97.6,96.68,95.76,94.84,93.92,93.0,91.46,89.92,88.38,86.84,85.3,83.36,81.42,79.48,77.54,75.6,73.36,71.12,68.88,66.64,64.4,62.3,60.2,58.1,56.0,53.9,51.42,48.94,46.46,43.98,41.5,40.54,39.58,38.62,37.66,36.7,35.92,35.14,34.36,33.58,32.8,31.98,31.16,30.34,29.52,28.7,27.06,25.42,23.78,22.14,20.5
Madagascar,Madagascar,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.82,99.74,99.66,99.58,99.5,99.3,99.1,98.9,98.7,98.5,98.04,97.58,97.12,96.66,96.2,96.04,95.88,95.72,95.56,95.4,95.44,95.48,95.52,95.56,95.6,95.56,95.52,95.48,95.44,95.4,95.2,95.0,94.8,94.6,94.4,93.8,93.2,92.6,92.0,91.4
Malawi,Malawi,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.96,99.98,100.0,99.94,99.88,99.82,99.76,99.7,99.66,99.62,99.58,99.54,99.5,99.4,99.3,99.2,99.1,99.0,98.88,98.76,98.64,98.52,98.4,98.2,98.0,97.8,97.6,97.4,97.06,96.72,96.38,96.04,95.7,95.12,94.54,93.96,93.38,92.8,92.08,91.36,90.64,89.92,89.2,88.22,87.24,86.26,85.28,84.3
Malaysia,Malaysia,98.7,98.24,97.78,97.32,96.86,96.4,95.48,94.56,93.64,92.72,91.8,90.18,88.56,86.94,85.32,83.7,81.64,79.58,77.52,75.46,73.4,70.9,68.4,65.9,63.4,60.9,58.76,56.62,54.48,52.34,50.2,48.3,46.4,44.5,42.6,40.7,38.62,36.54,34.46,32.38,30.3,29.42,28.54,27.66,26.78,25.9,25.02,24.14,23.26,22.38,21.5,20.62,19.74,18.86,17.98,17.1
Maldives,Maldives,99.9,99.94,99.98,100.02,100.06,100.1,100.06,100.02,99.98,99.94,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.96,99.98,100.0,99.96,99.92,99.88,99.84,99.8,99.7,99.6,99.5,99.4,99.3,98.92,98.54,98.16,97.78,97.4,97.12,96.84,96.56,96.28,96.0,95.08,94.16,93.24,92.32,91.4,90.4,89.4,88.4,87.4,86.4,85.4,84.4,83.4,82.4,81.4
Mali,Mali,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.84,99.78,99.72,99.66,99.6,99.56,99.52,99.48,99.44,99.4,99.34,99.28,99.22,99.16,99.1,99.0,98.9,98.8,98.7,98.6,98.4,98.2,98.0,97.8,97.6,97.06,96.52,95.98,95.44,94.9,94.56,94.22,93.88,93.54,93.2
Malta,Malta,93.7,93.34,92.98,92.62,92.26,91.9,91.42,90.94,90.46,89.98,89.5,88.58,87.66,86.74,85.82,84.9,83.3,81.7,80.1,78.5,76.9,75.2,73.5,71.8,70.1,68.4,66.7,65.0,63.3,61.6,59.9,58.22,56.54,54.86,53.18,51.5,49.86,48.22,46.58,44.94,43.3,41.32,39.34,37.36,35.38,33.4,32.2,31.0,29.8,28.6,27.4,26.64,25.88,25.12,24.36,23.6
Martinique,Martinique,96.0,95.14,94.28,93.42,92.56,91.7,90.42,89.14,87.86,86.58,85.3,83.66,82.02,80.38,78.74,77.1,75.32,73.54,71.76,69.98,68.2,66.3,64.4,62.5,60.6,58.7,56.72,54.74,52.76,50.78,48.8,46.98,45.16,43.34,41.52,39.7,38.18,36.66,35.14,33.62,32.1,30.88,29.66,28.44,27.22,26.0,25.14,24.28,23.42,22.56,21.7,20.62,19.54,18.46,17.38,16.3
Mauritania,Mauritania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.34,34.68,52.02,69.36,86.7
Mauritius,Mauritius,98.6,98.46,98.32,98.18,98.04,97.9,97.64,97.38,97.12,96.86,96.6,96.18,95.76,95.34,94.92,94.5,93.54,92.58,91.62,90.66,89.7,88.32,86.94,85.56,84.18,82.8,81.2,79.6,78.0,76.4,74.8,73.26,71.72,70.18,68.64,67.1,65.86,64.62,63.38,62.14,60.9,59.24,57.58,55.92,54.26,52.6,50.4,48.2,46.0,43.8,41.6,40.86,40.12,39.38,38.64,37.9
Mayotte,Mayotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.62,11.24,16.86,22.48,28.1
Mexico,Mexico,99.0,98.82,98.64,98.46,98.28,98.1,97.82,97.54,97.26,96.98,96.7,96.24,95.78,95.32,94.86,94.4,93.72,93.04,92.36,91.68,91.0,90.08,89.16,88.24,87.32,86.4,85.22,84.04,82.86,81.68,80.5,79.14,77.78,76.42,75.06,73.7,72.4,71.1,69.8,68.5,67.2,65.62,64.04,62.46,60.88,59.3,58.7,58.1,57.5,56.9,56.3,55.44,54.58,53.72,52.86,52.0
"Micronesia, Fed. Sts.",Micronesia (Federated States of),99.6,99.2,98.8,98.4,98.0,97.6,96.7,95.8,94.9,94.0,93.1,91.88,90.66,89.44,88.22,87.0,85.56,84.12,82.68,81.24,79.8,78.42,77.04,75.66,74.28,72.9,71.18,69.46,67.74,66.02,64.3,63.36,62.42,61.48,60.54,59.6,59.22,58.84,58.46,58.08,57.7,57.34,56.98,56.62,56.26,55.9,55.68,55.46,55.24,55.02,54.8,52.54,50.28,48.02,45.76,43.5
Mongolia,Mongolia,83.0,80.86,78.72,76.58,74.44,72.3,70.04,67.78,65.52,63.26,61.0,59.18,57.36,55.54,53.72,51.9,49.92,47.94,45.96,43.98,42.0,40.38,38.76,37.14,35.52,33.9,33.08,32.26,31.44,30.62,29.8,29.38,28.96,28.54,28.12,27.7,27.46,27.22,26.98,26.74,26.5,25.48,24.46,23.44,22.42,21.4,20.46,19.52,18.58,17.64,16.7,15.88,15.06,14.24,13.42,12.6
Montenegro,Montenegro,79.1,76.94,74.78,72.62,70.46,68.3,65.84,63.38,60.92,58.46,56.0,54.66,53.32,51.98,50.64,49.3,48.28,47.26,46.24,45.22,44.2,43.16,42.12,41.08,40.04,39.0,38.08,37.16,36.24,35.32,34.4,33.5,32.6,31.7,30.8,29.9,29.26,28.62,27.98,27.34,26.7,26.38,26.06,25.74,25.42,25.1,25.4,25.7,26.0,26.3,26.6,24.98,23.36,21.74,20.12,18.5
Morocco,Morocco,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.78,99.76,99.74,99.72,99.7,99.6,99.5,99.4,99.3,99.2,99.04,98.88,98.72,98.56,98.4,98.14,97.88,97.62,97.36,97.1,96.58,96.06,95.54,95.02,94.5,93.66,92.82,91.98,91.14,90.3,89.18,88.06,86.94,85.82,84.7,82.58,80.46,78.34,76.22,74.1,71.96,69.82,67.68,65.54,63.4
Mozambique,Mozambique,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.98,99.96,99.94,99.92,99.9,99.88,99.86,99.84,99.82,99.8,99.74,99.68,99.62,99.56,99.5,99.36,99.22,99.08,98.94,98.8,98.64,98.48,98.32,98.16,98.0,97.74,97.48,97.22,96.96,96.7,96.06,95.42,94.78,94.14,93.5,92.86,92.22,91.58,90.94,90.3
Myanmar,Myanmar,99.9,99.82,99.74,99.66,99.58,99.5,99.42,99.34,99.26,99.18,99.1,98.94,98.78,98.62,98.46,98.3,98.02,97.74,97.46,97.18,96.9,96.54,96.18,95.82,95.46,95.1,94.52,93.94,93.36,92.78,92.2,91.5,90.8,90.1,89.4,88.7,88.08,87.46,86.84,86.22,85.6,84.78,83.96,83.14,82.32,81.5,80.46,79.42,78.38,77.34,76.3,74.82,73.34,71.86,70.38,68.9
Namibia,Namibia,99.7,99.7,99.7,99.7,99.7,99.7,99.58,99.46,99.34,99.22,99.1,98.96,98.82,98.68,98.54,98.4,98.12,97.84,97.56,97.28,97.0,96.46,95.92,95.38,94.84,94.3,93.42,92.54,91.66,90.78,89.9,88.68,87.46,86.24,85.02,83.8,82.48,81.16,79.84,78.52,77.2,76.1,75.0,73.9,72.8,71.7,70.92,70.14,69.36,68.58,67.8,67.44,67.08,66.72,66.36,66.0
Nepal,Nepal,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.94,99.88,99.82,99.76,99.7,99.6,99.5,99.4,99.3,99.2,98.86,98.52,98.18,97.84,97.5,96.8,96.1,95.4,94.7,94.0,92.66,91.32,89.98,88.64,87.3,85.16,83.02,80.88,78.74,76.6,74.12,71.64,69.16,66.68,64.2,62.92,61.64,60.36,59.08,57.8
Netherlands,Netherlands,74.1,72.92,71.74,70.56,69.38,68.2,66.74,65.28,63.82,62.36,60.9,59.56,58.22,56.88,55.54,54.2,52.98,51.76,50.54,49.32,48.1,47.2,46.3,45.4,44.5,43.6,42.6,41.6,40.6,39.6,38.6,37.62,36.64,35.66,34.68,33.7,32.82,31.94,31.06,30.18,29.3,28.42,27.54,26.66,25.78,24.9,24.04,23.18,22.32,21.46,20.6,20.28,19.96,19.64,19.32,19.0
New Caledonia,New Caledonia,91.3,90.46,89.62,88.78,87.94,87.1,86.12,85.14,84.16,83.18,82.2,80.9,79.6,78.3,77.0,75.7,74.02,72.34,70.66,68.98,67.3,65.08,62.86,60.64,58.42,56.2,53.7,51.2,48.7,46.2,43.7,41.8,39.9,38.0,36.1,34.2,32.48,30.76,29.04,27.32,25.6,24.02,22.44,20.86,19.28,17.7,17.0,16.3,15.6,14.9,14.2,13.74,13.28,12.82,12.36,11.9
New Zealand,New Zealand,72.0,70.06,68.12,66.18,64.24,62.3,60.32,58.34,56.36,54.38,52.4,50.62,48.84,47.06,45.28,43.5,41.98,40.46,38.94,37.42,35.9,34.6,33.3,32.0,30.7,29.4,28.48,27.56,26.64,25.72,24.8,24.02,23.24,22.46,21.68,20.9,20.24,19.58,18.92,18.26,17.6,17.1,16.6,16.1,15.6,15.1,14.7,14.3,13.9,13.5,13.1,12.56,12.02,11.48,10.94,10.4
Nicaragua,Nicaragua,99.7,99.64,99.58,99.52,99.46,99.4,99.2,99.0,98.8,98.6,98.4,98.08,97.76,97.44,97.12,96.8,96.24,95.68,95.12,94.56,94.0,93.16,92.32,91.48,90.64,89.8,88.84,87.88,86.92,85.96,85.0,84.04,83.08,82.12,81.16,80.2,79.08,77.96,76.84,75.72,74.6,73.54,72.48,71.42,70.36,69.3,68.26,67.22,66.18,65.14,64.1,63.1,62.1,61.1,60.1,59.1
Niger,Niger,100.1,100.08,100.06,100.04,100.02,100.0,100.02,100.04,100.06,100.08,100.1,100.08,100.06,100.04,100.02,100.0,100.02,100.04,100.06,100.08,100.1,100.08,100.06,100.04,100.02,100.0,99.96,99.92,99.88,99.84,99.8,99.8,99.8,99.8,99.8,99.8,99.74,99.68,99.62,99.56,99.5,99.54,99.58,99.62,99.66,99.7,99.64,99.58,99.52,99.46,99.4,99.18,98.96,98.74,98.52,98.3
Nigeria,Nigeria,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.84,99.78,99.72,99.66,99.6,99.46,99.32,99.18,99.04,98.9,98.6,98.3,98.0,97.7,97.4,96.84,96.28,95.72,95.16,94.6,93.76,92.92,92.08,91.24,90.4,89.32,88.24,87.16,86.08,85.0,83.82,82.64,81.46,80.28,79.1,77.76,76.42,75.08,73.74,72.4,70.74,69.08,67.42,65.76,64.1
Norway,Norway,54.3,53.84,53.38,52.92,52.46,52.0,51.48,50.96,50.44,49.92,49.4,48.84,48.28,47.72,47.16,46.6,45.94,45.28,44.62,43.96,43.3,42.24,41.18,40.12,39.06,38.0,37.0,36.0,35.0,34.0,33.0,32.78,32.56,32.34,32.12,31.9,32.04,32.18,32.32,32.46,32.6,32.46,32.32,32.18,32.04,31.9,31.34,30.78,30.22,29.66,29.1,28.46,27.82,27.18,26.54,25.9
Occupied Palestinian Territory,Occupied Palestinian Territory,99.4,99.02,98.64,98.26,97.88,97.5,96.66,95.82,94.98,94.14,93.3,91.98,90.66,89.34,88.02,86.7,85.1,83.5,81.9,80.3,78.7,77.3,75.9,74.5,73.1,71.7,70.8,69.9,69.0,68.1,67.2,66.22,65.24,64.26,63.28,62.3,61.16,60.02,58.88,57.74,56.6,56.02,55.44,54.86,54.28,53.7,52.32,50.94,49.56,48.18,46.8,45.4,44.0,42.6,41.2,39.8
Oman,Oman,100.0,99.98,99.96,99.94,99.92,99.9,99.86,99.82,99.78,99.74,99.7,99.64,99.58,99.52,99.46,99.4,99.12,98.84,98.56,98.28,98.0,97.26,96.52,95.78,95.04,94.3,92.64,90.98,89.32,87.66,86.0,83.22,80.44,77.66,74.88,72.1,68.94,65.78,62.62,59.46,56.3,53.8,51.3,48.8,46.3,43.8,43.1,42.4,41.7,41.0,40.3,39.6,38.9,38.2,37.5,36.8
Pakistan,Pakistan,99.9,99.88,99.86,99.84,99.82,99.8,99.76,99.72,99.68,99.64,99.6,99.52,99.44,99.36,99.28,99.2,99.08,98.96,98.84,98.72,98.6,98.3,98.0,97.7,97.4,97.1,96.66,96.22,95.78,95.34,94.9,94.16,93.42,92.68,91.94,91.2,89.8,88.4,87.0,85.6,84.2,83.08,81.96,80.84,79.72,78.6,77.44,76.28,75.12,73.96,72.8,71.68,70.56,69.44,68.32,67.2
Panama,Panama,92.0,91.22,90.44,89.66,88.88,88.1,87.3,86.5,85.7,84.9,84.1,83.08,82.06,81.04,80.02,79.0,77.72,76.44,75.16,73.88,72.6,71.28,69.96,68.64,67.32,66.0,64.8,63.6,62.4,61.2,60.0,58.86,57.72,56.58,55.44,54.3,53.38,52.46,51.54,50.62,49.7,48.78,47.86,46.94,46.02,45.1,44.18,43.26,42.34,41.42,40.5,39.32,38.14,36.96,35.78,34.6
Papua New Guinea,Papua New Guinea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.46,28.92,43.38,57.84,72.3
Paraguay,Paraguay,97.8,97.58,97.36,97.14,96.92,96.7,96.38,96.06,95.74,95.42,95.1,94.66,94.22,93.78,93.34,92.9,92.32,91.74,91.16,90.58,90.0,89.36,88.72,88.08,87.44,86.8,86.06,85.32,84.58,83.84,83.1,82.02,80.94,79.86,78.78,77.7,76.88,76.06,75.24,74.42,73.6,72.26,70.92,69.58,68.24,66.9,65.54,64.18,62.82,61.46,60.1,58.76,57.42,56.08,54.74,53.4
Peru,Peru,93.1,92.44,91.78,91.12,90.46,89.8,88.92,88.04,87.16,86.28,85.4,84.3,83.2,82.1,81.0,79.9,78.62,77.34,76.06,74.78,73.5,72.06,70.62,69.18,67.74,66.3,64.88,63.46,62.04,60.62,59.2,57.88,56.56,55.24,53.92,52.6,51.54,50.48,49.42,48.36,47.3,46.62,45.94,45.26,44.58,43.9,42.38,40.86,39.34,37.82,36.3,34.8,33.3,31.8,30.3,28.8
Philippines,Philippines,90.1,89.22,88.34,87.46,86.58,85.7,84.62,83.54,82.46,81.38,80.3,79.18,78.06,76.94,75.82,74.7,73.34,71.98,70.62,69.26,67.9,66.08,64.26,62.44,60.62,58.8,56.98,55.16,53.34,51.52,49.7,47.94,46.18,44.42,42.66,40.9,39.48,38.06,36.64,35.22,33.8,32.76,31.72,30.68,29.64,28.6,27.54,26.48,25.42,24.36,23.3,22.24,21.18,20.12,19.06,18.0
Poland,Poland,54.7,53.66,52.62,51.58,50.54,49.5,48.28,47.06,45.84,44.62,43.4,42.54,41.68,40.82,39.96,39.1,38.34,37.58,36.82,36.06,35.3,34.68,34.06,33.44,32.82,32.2,31.62,31.04,30.46,29.88,29.3,28.74,28.18,27.62,27.06,26.5,26.16,25.82,25.48,25.14,24.8,24.66,24.52,24.38,24.24,24.1,24.26,24.42,24.58,24.74,24.9,23.28,21.66,20.04,18.42,16.8
Portugal,Portugal,99.0,98.74,98.48,98.22,97.96,97.7,97.18,96.66,96.14,95.62,95.1,94.04,92.98,91.92,90.86,89.8,88.24,86.68,85.12,83.56,82.0,80.4,78.8,77.2,75.6,74.0,72.58,71.16,69.74,68.32,66.9,65.62,64.34,63.06,61.78,60.5,59.36,58.22,57.08,55.94,54.8,53.64,52.48,51.32,50.16,49.0,47.96,46.92,45.88,44.84,43.8,41.68,39.56,37.44,35.32,33.2
Puerto Rico,Puerto Rico,72.9,70.72,68.54,66.36,64.18,62.0,60.0,58.0,56.0,54.0,52.0,50.28,48.56,46.84,45.12,43.4,42.14,40.88,39.62,38.36,37.1,35.88,34.66,33.44,32.22,31.0,29.98,28.96,27.94,26.92,25.9,25.3,24.7,24.1,23.5,22.9,22.24,21.58,20.92,20.26,19.6,18.98,18.36,17.74,17.12,16.5,16.04,15.58,15.12,14.66,14.2,13.44,12.68,11.92,11.16,10.4
Qatar,Qatar,98.0,97.64,97.28,96.92,96.56,96.2,95.6,95.0,94.4,93.8,93.2,92.28,91.36,90.44,89.52,88.6,87.58,86.56,85.54,84.52,83.5,82.32,81.14,79.96,78.78,77.6,76.38,75.16,73.94,72.72,71.5,70.52,69.54,68.56,67.58,66.6,65.3,64.0,62.7,61.4,60.1,58.68,57.26,55.84,54.42,53.0,51.72,50.44,49.16,47.88,46.6,44.68,42.76,40.84,38.92,37.0
South Korea,Republic of Korea,92.6,90.68,88.76,86.84,84.92,83.0,80.4,77.8,75.2,72.6,70.0,67.28,64.56,61.84,59.12,56.4,53.04,49.68,46.32,42.96,39.6,35.86,32.12,28.38,24.64,20.9,18.64,16.38,14.12,11.86,9.6,9.2,8.8,8.4,8.0,7.6,7.36,7.12,6.88,6.64,6.4,6.18,5.96,5.74,5.52,5.3,5.32,5.34,5.36,5.38,5.4,5.02,4.64,4.26,3.88,3.5
Moldova,Republic of Moldova,89.1,86.94,84.78,82.62,80.46,78.3,75.32,72.34,69.36,66.38,63.4,61.96,60.52,59.08,57.64,56.2,55.56,54.92,54.28,53.64,53.0,52.66,52.32,51.98,51.64,51.3,50.84,50.38,49.92,49.46,49.0,48.2,47.4,46.6,45.8,45.0,44.04,43.08,42.12,41.16,40.2,39.06,37.92,36.78,35.64,34.5,33.0,31.5,30.0,28.5,27.0,25.52,24.04,22.56,21.08,19.6
Reunion,Reunion,98.4,98.02,97.64,97.26,96.88,96.5,95.88,95.26,94.64,94.02,93.4,92.42,91.44,90.46,89.48,88.5,87.42,86.34,85.26,84.18,83.1,81.7,80.3,78.9,77.5,76.1,74.36,72.62,70.88,69.14,67.4,65.56,63.72,61.88,60.04,58.2,56.28,54.36,52.44,50.52,48.6,46.92,45.24,43.56,41.88,40.2,38.9,37.6,36.3,35.0,33.7,32.58,31.46,30.34,29.22,28.1
Romania,Romania,80.1,79.12,78.14,77.16,76.18,75.2,73.62,72.04,70.46,68.88,67.3,66.1,64.9,63.7,62.5,61.3,60.44,59.58,58.72,57.86,57.0,56.46,55.92,55.38,54.84,54.3,53.62,52.94,52.26,51.58,50.9,50.0,49.1,48.2,47.3,46.4,45.3,44.2,43.1,42.0,40.9,40.16,39.42,38.68,37.94,37.2,37.2,37.2,37.2,37.2,37.2,35.2,33.2,31.2,29.2,27.2
Russia,Russian Federation,59.2,55.34,51.48,47.62,43.76,39.9,37.28,34.66,32.04,29.42,26.8,25.54,24.28,23.02,21.76,20.5,19.74,18.98,18.22,17.46,16.7,16.2,15.7,15.2,14.7,14.2,13.86,13.52,13.18,12.84,12.5,12.14,11.78,11.42,11.06,10.7,10.3,9.9,9.5,9.1,8.7,8.36,8.02,7.68,7.34,7.0,7.18,7.36,7.54,7.72,7.9,7.48,7.06,6.64,6.22,5.8
Rwanda,Rwanda,99.9,99.92,99.94,99.96,99.98,100.0,99.98,99.96,99.94,99.92,99.9,99.94,99.98,100.02,100.06,100.1,100.06,100.02,99.98,99.94,99.9,99.88,99.86,99.84,99.82,99.8,99.76,99.72,99.68,99.64,99.6,99.52,99.44,99.36,99.28,99.2,99.0,98.8,98.6,98.4,98.2,97.64,97.08,96.52,95.96,95.4,94.58,93.76,92.94,92.12,91.3,90.5,89.7,88.9,88.1,87.3
St. Lucia,Saint Lucia,98.4,98.02,97.64,97.26,96.88,96.5,95.96,95.42,94.88,94.34,93.8,92.86,91.92,90.98,90.04,89.1,87.48,85.86,84.24,82.62,81.0,79.02,77.04,75.06,73.08,71.1,68.98,66.86,64.74,62.62,60.5,58.24,55.98,53.72,51.46,49.2,47.3,45.4,43.5,41.6,39.7,38.12,36.54,34.96,33.38,31.8,30.8,29.8,28.8,27.8,26.8,25.74,24.68,23.62,22.56,21.5
